#timestamp x y z q_x q_y q_z q_w
1776995357.957026958 -18.120132446 27.470363617 1.465157747 0.027668259 -0.015266684 0.018016030 0.999338190
1776995358.562185764 -17.514995575 27.438953400 1.479463577 0.025091997 -0.016017881 -0.116192197 0.992780536
1776995358.965639591 -17.121299744 27.311092377 1.496372819 0.020276476 -0.014072836 -0.222891074 0.974530856
1776995359.369092464 -16.771949768 27.094409943 1.538542628 0.024570994 -0.008881845 -0.331527038 0.943083878
1776995360.377659082 -16.045177460 26.272968292 1.533080339 0.026008616 -0.005480966 -0.413690934 0.910029297
1776995361.184552670 -15.441463470 25.670278549 1.536833763 0.017834429 -0.010337536 -0.313347927 0.949414633
1776995361.587981701 -15.075265884 25.432308197 1.543509722 0.022291757 -0.011784679 -0.203731620 0.978702011
1776995362.193144321 -14.471693039 25.251623154 1.552451491 0.015574171 -0.014993976 -0.075779956 0.996890177
1776995363.201741219 -13.312081337 25.184822083 1.599377751 0.010856040 -0.016003198 0.012835514 0.999730611
1776995364.210341454 -12.075580597 25.220815659 1.644512296 0.019078936 -0.015629895 0.009780591 0.999647958
1776995365.218935251 -10.890579224 25.268600464 1.684730887 0.018163472 -0.016854166 0.058514517 0.997978996
1776995366.227527380 -9.745045662 25.394115448 1.753777266 0.018632040 -0.015255210 0.081635674 0.996371287
1776995367.236146212 -8.605740547 25.576076508 1.799632907 0.019005726 -0.015517904 0.072393267 0.997074316
1776995368.244735241 -7.478565693 25.737098694 1.836198449 0.017863611 -0.016474635 0.065940035 0.997527638
1776995369.253320217 -6.374140263 25.885488510 1.886032462 0.019141284 -0.015070939 0.063507811 0.997683936
1776995370.261925936 -5.234988213 26.050212860 1.939210892 0.053418087 -0.014759318 0.053448221 0.997031573
1776995371.270724297 -4.100916862 26.198833466 1.943880916 0.053437932 -0.025963994 0.063975302 0.996181419
1776995372.279136658 -3.007895470 26.315336227 1.942235351 0.053940547 -0.013689134 0.033224849 0.997897357
1776995372.884299278 -2.295066357 26.294839859 1.941061378 0.054596818 -0.008216658 -0.098281360 0.993625910
1776995373.287722588 -1.845907092 26.159950256 1.940194249 0.056345500 -0.008289529 -0.214143604 0.975140495
1776995373.691179037 -1.491183996 25.961397171 1.939410329 0.052702545 0.002301733 -0.316158420 0.947238617
1776995374.094611645 -1.177436948 25.683448792 1.905066252 0.051368404 0.005324920 -0.414997125 0.908355833
1776995374.498042583 -0.935276687 25.337766647 1.875766158 0.051715871 0.009404162 -0.505088306 0.861465515
1776995375.103198528 -0.696156561 24.727447510 1.836485982 0.052987247 0.016039951 -0.603852826 0.795170948
1776995376.111814022 -0.488236070 23.652065277 1.729570270 0.044334806 0.024432618 -0.647826786 0.760103893
1776995377.120406628 -0.301843554 22.513854980 1.655531645 0.055550925 0.013747579 -0.651805681 0.756223811
1776995378.129011154 -0.143176422 21.333318710 1.550164819 0.056821661 0.014127649 -0.655885308 0.752586321
1776995379.137595177 -0.005261193 20.165460587 1.435382724 0.055343469 0.014864109 -0.664074390 0.745467212
1776995380.146203995 0.139347658 18.986482620 1.318074703 0.055563797 0.014325895 -0.652654468 0.755479701
1776995381.154801369 0.303268343 17.794145584 1.225448370 0.052058354 0.012839102 -0.653970253 0.754617780
1776995382.163406849 0.470299959 16.629966736 1.131063819 0.051743643 0.012329696 -0.653870901 0.754734005
1776995383.172017813 0.589625537 15.505818367 1.028902769 0.051716006 0.011619717 -0.666858139 0.743297154
